erbärmlich	wretched	»Erbärmlich«, kommentierte Fred den Wurf.	[sound:erbärmlich.ogg.mp3]
schnauben	(to) snort	»oh, ist das alles?«, sagte Harry schnaubend.	[sound:schnauben.ogg.mp3]
Ungeziefer	vermin	Wir Hauselfen wurden wie Ungeziefer behandelt, Sir!	[sound:Ungeziefer.ogg.mp3]
der Handel	deal, business	Unterdessen kam es hinter dem Rücken der Lehrer zu einem blühenden Handel mit Talismanen, Amuletten und anderen schützenden Utensilien.	[sound:der Handel.ogg.mp3]
insgesamt	all in all	»Aber insgesamt, Sir, hat sich das Leben für unsereins verbessert, seit Sie über jenen, dessen Name nicht genannt werden darf, triumphiert haben.	[sound:insgesamt.ogg.mp3]
verdächtig	suspicious	Harry, Ron und Hermine trugen sich in die Liste ein; sie hatten gehört, daß auch Malfoy dableiben würde, und das kam ihnen sehr verdächtig vor.	[sound:verdächtig.ogg.mp3]
Bündel	bundle up	»Neben ihm lag ein Bündel Trauben«, sagte Professor McGonagall, »wir glauben, er hat versucht sich hier heraufzuschleichen, um Potter zu besuchen.«	[sound:Bündel.ogg.mp3]
klauen	(to) snitch	Harry verschwieg den andern, daß er lieber dem sagenhaften Monster Slytherins die Stirn bieten würde als von Snape beim Klauen in seinem Büro erwischt zu werden.	[sound:klauen.ogg.mp3]
Traube	grape	»Neben ihm lag ein Bündel Trauben«, sagte Professor McGonagall, »wir glauben, er hat versucht sich hier heraufzuschleichen, um Potter zu besuchen.«	[sound:Traube.ogg.mp3]
geschmolzen	melted	»Geschmolzen«, sagte Madam Pomfrey und schüttelte den Kopf, »alles geschmolzen«– »Was bedeutet das, Albus?«, fragte Professor McGonagall ängstlich.	[sound:geschmolzen.ogg.mp3]
sächlich	factual	»Ich glaube, ich mach das besser selbst mit dem Klauen«, fuhr Hermine in sachlichem Ton fort.	[sound:sächlich.ogg.mp3]
Eintrag	entry	»Ihr beide werdet rausgeworfen, wenn ihr noch mal was anstellt, und ich habe noch keinen Eintrag.	[sound:Eintrag.ogg.mp3]
stiften	donate	Also müßt ihr nur genug Durcheinander stiften, um Snape etwa fünf Minuten lang in Atem zu halten.«	[sound:stiften.ogg.mp3]
schnippen	flicked	Draco Malfoy, Snapes Lieblingsschüler, schnippte dauernd Pufferfischaugen gegen Ron und Harry, die wußten, wenn sie sich rächen würden, bekämen sie schneller Strafarbeiten aufgehalst, als sie»ungerecht»sagen konnten.	[sound:schnippen.ogg.mp3]
wässrig	aqueous	Er wartete auf Hermines Zeichen und hörte kaum zu, als Snape vor ihn trat und über seine wäßrige Suppe spottete.	[sound:wässrig.ogg.mp3]
hänseln	tease	Als Snape weiterging, um Neville zu hänseln, sah Hermine zu Harry hinüber und nickte.	[sound:hänseln.ogg.mp3]
aufmuntern	encouragingly	»Snape kann nicht beweisen, daß du es warst«, sagte Ron aufmunternd.	[sound:aufmuntern.ogg.mp3]
soeben	just	Als Harry, Ron und Hermine eine Woche später die Eingangshalle durchquerten, bemerkten sie einen kleinen Menschenauflauf um das schwarze Brett, wo soeben ein Pergament gangepinnt worden war.	[sound:soeben.ogg.mp3]
Stoßseufzer	sigh	»Solange er nicht «–, begann Harry, doch mit einem Stoßseufzer brach er ab: Gewandet in einen prachtvollen pflaumenblauen Umhang betrat Gilderoy Lockhart die Bühne, und ihm folgte, in seinem üblichen schwarzen Umhang, kein anderer als Snape.	[sound:Stoßseufzer.ogg.mp3]
Einzelheit	Details	Nun, Professor Dumbledore hat mir die Erlaubnis erteilt, diesen kleinen Duellierclub zu gründen und euch auszubilden für den Fall, daß ihr euch verteidigen müßt, wie ich selbst es in zahllosen Fällen getan habe – die Einzelheiten lest ihr bitte in meinen Veröffentlichungen nach.	[sound:Einzelheit.ogg.mp3]
Veröffentlichung	publication	Nun, Professor Dumbledore hat mir die Erlaubnis erteilt, diesen kleinen Duellierclub zu gründen und euch auszubilden für den Fall, daß ihr euch verteidigen müßt, wie ich selbst es in zahllosen Fällen getan habe – die Einzelheiten lest ihr bitte in meinen Veröffentlichungen nach.	[sound:Veröffentlichung.ogg.mp3]
anfangs	first	»Er hat mir anvertraut, daß er selbst ein klein wenig vom Duell versteht und sich freundlicherweise bereit erklärt hat, mir anfangs bei einer kleinen Vorführung zu helfen.	[sound:anfangs.ogg.mp3]
unversehrt	intact	Nun, ihr jungen Leute braucht euch keine Sorgen zu machen, wenn ich mit ihm fertig bin, bekommt ihr euren Zaubertranklehrer unversehrt wieder, keine Angst!«	[sound:unversehrt.ogg.mp3]
weshalb	why		[sound:weshalb.ogg.mp3]
Weite	size	Harry fragte sich, weshalb Lockhart eigentlich noch lächelte; wenn Snape ihn so angesehen hätte, hätte er schon längst das Weite gesucht.	[sound:Weite.ogg.mp3]
rücklings	backward	»Ein blendend scharlachroter Blitz riß Lockhart von den Füßen: rücklings flog er über die Bühne, knallte gegen die Wand, rutschte an ihr herunter und blieb, alle Viere von sich gestreckt, auf dem Boden liegen.	[sound:rücklings.ogg.mp3]
johlen	hooted	Malfoy und einige andere Slytherins johlten.	[sound:johlen.ogg.mp3]
lehrreich	instructive	»Das war ein Entwaffnungszauber – wie ihr seht, hab ich meinen Zauberstab verloren – ah, danke, Miss Brown – ja, treffliche Idee, ihnen das zu zeigen, Professor Snape, aber verzeihen Sie, wenn ich Ihnen dies sage, es war recht offensichtlich, was Sie vorhatten, und ich hätte es verhindert, wenn ich nur gewollt hätte – allerdings meinte ich, es sei lehrreich, wenn die Schüler es sehen würden«– Snapes Gesicht hatte einen mörderischen Ausdruck angenommen.	[sound:lehrreich.ogg.mp3]
auffallen	noticed	Vielleicht war das auch Lockhart aufgefallen, denn er sagte:»Genug der Vorführung!	[sound:auffallen.ogg.mp3]
eitel	Eitel	Eitel grinsend schritt Malfoy herbei.	[sound:eitel.ogg.mp3]
vierschrötig	burly	Sie war groß und vierschrötig und ihr schwerer Kiefer mahlte angriffslustig.	[sound:vierschrötig.ogg.mp3]
Schwitzkasten	headlock	Neville und Justin lagen schwer atmend auf dem Boden; Ron half dem aschfahlen Seamus auf die Beine und entschuldigte sich für was immer auch sein lädierter Zauberstab angestellt haben mochte; doch Hermine und Millicent Bulstrode rauften noch miteinander; Millicent hatte Hermine, die vor Schmerz wimmerte, im Schwitzkasten: die Zauberstäbe der beiden lagen vergessen auf dem Boden.	[sound:Schwitzkasten.ogg.mp3]
Trümmerfeld	debris field	Er hüpfte durch die Menge und begutachtete das Trümmerfeld.	[sound:Trümmerfeld.ogg.mp3]
Verheerung	devastation	»Longbottom richtet mit den einfachsten Zaubersprüchen Verheerungen an, da können wir das, was von Finch-Fletchley übrig bleibt, in einer Streichholzschachtel hoch ins Krankenquartier schicken.	[sound:Verheerung.ogg.mp3]
Knall	Pop	Drohend schwang er seinen Zauberstab gegen die Schlange und es gab einen lauten Knall; die Schlange, anstatt zu verschwinden, hob sich vier Meter in die Luft und fiel dann mit einem lauten Klatschen zurück auf den Boden.	[sound:Knall.ogg.mp3]
Staub	dust	Snape trat vor, wedelte mit seinem Zauberstab und die Schlange löste sich in ein Wölkchen aus schwarzem Staub auf Auch Snape musterte Harry mit einem Blick, den er nicht erwartet hätte: scharf und berechnend, und Harry mochte diesen Blick nicht.	[sound:Staub.ogg.mp3]
berechnend	calculating	Snape trat vor, wedelte mit seinem Zauberstab und die Schlange löste sich in ein Wölkchen aus schwarzem Staub auf Auch Snape musterte Harry mit einem Blick, den er nicht erwartet hätte: scharf und berechnend, und Harry mochte diesen Blick nicht.	[sound:berechnend.ogg.mp3]
Wolle	wool	Potter muß sich mit Filch in die Wolle gekriegt haben.	[sound:Wolle.ogg.mp3]
Schlamm	sludge	Dieser Erstkläßler Creevey hat Potter beim Quidditch-Spiel geärgert, weil er Bilder von ihm machte, als Potter im Schlamm lag.	[sound:Schlamm.ogg.mp3]
Befürchtung	Fears	Offensichtlich hatten sich die schlimmsten Befürchtungen der Hufflepuffs bestätigt.	[sound:Befürchtung.ogg.mp3]
Pranke	paws	Ein toter Hahn baumelte von einer seiner massigen behandschuhten Pranken herab.	[sound:Pranke.ogg.mp3]
Bannkreis	spell	»Entweder Füchse oder ein Blut saugendes Gespenst, und ich brauch die Erlaubnis des Schulleiters, einen Bannkreis um den Hühnerstall zu ziehen.«	[sound:Bannkreis.ogg.mp3]
angeln	fishing	»Justin hat auf so etwas gewartet, seit ihm Potter gegenüber herausgerutscht ist, daß er ein Muggelkind ist«– Harry stapfte die Treppen hoch und bog in einen Korridor ein, der noch dunkler war als die anderen; ein scharfer, eisiger Luftzug pfiff durch ein in den Angeln schlagendes Fenster und hatte die Fackeln gelöscht.	[sound:angeln.ogg.mp3]
stieren	goggling	Justin Finch-Fletchley lag auf dem Boden, steif und kalt und leblos an die Decke stierend, mit einem festgefrorenen Ausdruck des Entsetzens im Gesicht.	[sound:stieren.ogg.mp3]
reglos	Motionless	Reglos schwebte er eine Handbreit über dem Boden.	[sound:reglos.ogg.mp3]
Trommelwirbel	drumroll	Harry rappelte sich auf, schnell und flach atmend, und sein Herz vollführte eine Art Trommelwirbel gegen seine Rippen.	[sound:Trommelwirbel.ogg.mp3]
Schild	shields	»Was fährt Potter im Schilde?	[sound:Schild.ogg.mp3]
Purzelbaum	somersault	Er vollendete seinen Purzelbaum und bevor Harry ihn aufhalten konnte, füllte er seine Lungen und brüllte: »ANGRIFF!	[sound:Purzelbaum.ogg.mp3]
gestreift	striped	Professor McGonagall kam herbeigeeilt, gefolgt von ihren Schülern, von denen einer immer noch schwarzweiß gestreiftes Haar hatte.	[sound:gestreift.ogg.mp3]
Anweisung	Instructions	Professor McGonagall beschwor schließlich einen großen Föhn aus dem Nichts herauf und reichte ihn Ernie mit der Anweisung, den Fast Kopflosen Nick die Treppe hochzupusten.	[sound:Anweisung.ogg.mp3]
der Föhn	hairdryer	Professor McGonagall beschwor schließlich einen großen Föhn aus dem Nichts herauf und reichte ihn Ernie mit der Anweisung, den Fast Kopflosen Nick die Treppe hochzupusten.	[sound:der Föhn.ogg.mp3]
staunen	(to) amaze	Obwohl Harry Angst hatte vor dem, was ihn jetzt erwartete, mußte er einfach staunen.	[sound:staunen.ogg.mp3]
der Aufzug	elevator	Hinter der Wand war eine Wendeltreppe, die sich langsam nach oben bewegte wie ein Aufzug.	[sound:der Aufzug.ogg.mp3]
surren	buzzed	Auf den storchbeinigen Tischen standen merkwürdige silberne Instrumente, die surrten und kleine Rauchwolken ausstießen.	[sound:surren.ogg.mp3]
ehemalig	former	An den Wänden hingen Bilder ehemaliger Schulleiter und Schulleiterinnen, die alle friedlich in ihren Rahmen dösten.	[sound:ehemalig.ogg.mp3]
der Fimmel	craze	Schließlich wisperte ihm eine leise Stimme ins Ohr: »Hast ‘nen kleinen Fimmel, Harry Potter?«	[sound:der Fimmel.ogg.mp3]
gewitzt	smart	Ähm – tut mir Leid, daß ich dich störe – ich wollte nur fragen «– »Du fragst dich, ob ich dich ins richtige Haus gesteckt habe«, sagte der Hut gewitzt. ja« bei dir war es besonders schwierig.	[sound:gewitzt.ogg.mp3]
boshaft	spiteful	Harry starrte ihn an und der Vogel starrte boshaft zurück und ließ erneut sein würgendes Geräusch hören.	[sound:boshaft.ogg.mp3]
sputen	hurry	»Sah seit Tagen schon fürchterlich aus, ich hab ihm gesagt, er solle sich mal sputen.«	[sound:sputen.ogg.mp3]
die Lasten	expenses	Sie können unglaublich schwere Lasten tragen, ihre Tränen haben heilende Kraft und sie sind außerordentlich treue Haustiere.«	[sound:die Lasten.ogg.mp3]
Ansturm	rush	Fast kam es zu einem Ansturm auf die Fahrkarten für den Hogwarts-Express, denn alle wollten über Weihnachten nach Hause.	[sound:Ansturm.ogg.mp3]
nachmachen	imitated	Crabbe und Goyle, die Malfoy alles nachmachten, hatten sich ebenfalls in die Liste derer eingetragen, die in den Ferien dableiben wollten.	[sound:nachmachen.ogg.mp3]
Vorhut	vanguard	Sie ließen es sich nicht nehmen, als Harrys Vorhut durch die Gänge zu marschieren und zu rufen:»Macht Platz für den Erben von Slytherin, ein gaaanz böser Zauberer kommt hier durch«– Percy mißbilligte dieses Verhalten zutiefst.	[sound:Vorhut.ogg.mp3]
zutiefst	deeply	Sie ließen es sich nicht nehmen, als Harrys Vorhut durch die Gänge zu marschieren und zu rufen:»Macht Platz für den Erben von Slytherin, ein gaaanz böser Zauberer kommt hier durch«– Percy mißbilligte dieses Verhalten zutiefst.	[sound:zutiefst.ogg.mp3]
ahnungsvoll	foreboding	»Eben weil es fast aus ihm herausplatzt, daß es in Wahrheit er ist«, sagte Ron ahnungsvoll.	[sound:ahnungsvoll.ogg.mp3]
Anerkennung	Recognition	»Ihr wißt ja, wie er jeden haßt, der besser ist als er, und du, Harry, kriegst die ganze Anerkennung für seine schmutzige Arbeit.«	[sound:Anerkennung.ogg.mp3]
Überzeugung	conviction	Percy, der ihr, wie er es nannte, kindisches Betragen verachtete, tauchte selten im Gemeinschaftsraum der Gryffindors auf Er hatte ihnen mit dem Brustton der Überzeugung erklärt, daß er nur deshalb über Weihnachten bleibe, weil es seine Pflicht als Vertrauensschüler sei, die Lehrer in diesen unruhigen Zeiten zu unterstützen.	[sound:Überzeugung.ogg.mp3]
Zahnstocher	toothpick	Sie hatten Harry einen Zahnstocher geschickt und einen Zettel, auf dem es hieß, er solle fragen, ob er auch während der Sommerferien in Hogwarts bleiben könne.	[sound:Zahnstocher.ogg.mp3]
Eierpunsch	Eggnog	Dumbledore stimmte mit ihnen ein paar seiner liebsten Weihnachtslieder an, wobei Hagrid mit jedem Becher Eierpunsch, den er schluckte, lauter dröhnte.	[sound:Eierpunsch.ogg.mp3]
sachlich	objective	»Wir brauchen immer noch Stückchen von den Leuten, in die ihr euch verwandeln wollt«, sagte Hermine ganz sachlich, als schickte sie die beiden in den Laden, um Waschpulver zu kaufen.	[sound:sachlich.ogg.mp3]
gelassen	left	Ich hab alles genau geplant«, fuhr sie gelassen fort und achtete nicht im Geringsten auf Harrys und Rons verdutzte Gesichter.	[sound:gelassen.ogg.mp3]
reibungslos	smoothly	Doch zu Harrys und Rons kompletter Verblüffung verlief Phase eins ihrer Operation genau so reibungslos, wie Hermine gesagt hatte.	[sound:reibungslos.ogg.mp3]
schadenfroh	gleefully	»Wie dick kann man eigentlich werden?«, flüsterte Ron begeistert, als Crabbe schadenfroh auf die Kuchen deutete und sie sich schnappte.	[sound:schadenfroh.ogg.mp3]
schnappen	(to) snap	»Wie dick kann man eigentlich werden?«, flüsterte Ron begeistert, als Crabbe schadenfroh auf die Kuchen deutete und sie sich schnappte.	[sound:schnappen.ogg.mp3]
Borste	short stiff hair	Sobald sie sicher zwischen den Eimern und Wischern verstaut waren, riss Harry ein paar der Borsten aus, die auf Goyles Stirn wuchsen, und Ron nahm sich ein paar Haare von Crabbe.	[sound:Borste.ogg.mp3]
der Qualm	fume	Dicker schwarzer Qualm drang aus der Kabine, in der Hermine den Kessel rührte.	[sound:der Qualm.ogg.mp3]
die Riegel (pl.)	bars	Mit einem scharrenden Geräusch wurde der Riegel zurückgeschoben und Hermine tauchte vor ihnen auf.	[sound:die Riegel (pl.).ogg.mp3]
angespannt	tense	Ihr Gesicht glänzte und wirkte angespannt.	[sound:angespannt.ogg.mp3]
träge	lazy	Aus der Nähe sah der Zaubertrank wie dicker, dunkler, träge blubbernder Schlamm aus.	[sound:träge.ogg.mp3]
triezen	(to) pester	»Da werden sie dich ganz fürchterlich triezen«, sagte Myrte glücklich.	[sound:triezen.ogg.mp3]
griesgrämig	grouchy	»Und danken möchte ich den inwischen sechsundvierzig Leuten, die mir Karten geschickt haben. ja, ich habe mir die Freiheit genommen, diese kleine Überraschung für Sie alle vorzubereiten – und es kommt noch besser« Lockhart klatschte in die Hände und durch das Portal zur Eingangshalle marschierte ein Dutzend griesgrämig dreinschauender Zwerge.	[sound:griesgrämig.ogg.mp3]
die Lupe	magnifying glass	»Keine Ahnung«, sagte Harry, während Ron Harrys Umhang unter die Lupe nahm.	[sound:die Lupe.ogg.mp3]
Rührei	scrambled eggs	»Beste Bedingungen für Quidditch!«, sagte Wood begeistert am Gryffindor-Tisch und schaufelte die Teller der Mannschaft mit Rührei voll.	[sound:Rührei.ogg.mp3]
die Traube	a bunch of grapes	Die Hufflepuffs, die in kanariengelb spielten, bildeten eine Traube und besprachen ein letztes Mal ihre Taktik.	[sound:die Traube.ogg.mp3]
meißeln	(to) chisel	Das Bild Hermines wollte ihm einfach nicht aus dem Kopf, wie sie da auf dem Krankenbett lag, als wäre sie aus Stein gemeißelt.	[sound:meißeln.ogg.mp3]
eichen	oak	Als sie das eichene Schloßtor erreichten, fiel ihnen ein Stein vom Herzen.	[sound:eichen.ogg.mp3]
Nadelstreifenanzug	pinstripe suit	Er trug eine seltsame Mischung von Kleidern: einen Nadelstreifenanzug, eine scharlachrote Krawatte, einen langen schwarzen Umhang und spitze purpurne Stiefel.	[sound:Nadelstreifenanzug.ogg.mp3]
missmutig	discontented	»Ich hab niemals«, begann Hagrid und sah Dumbledore flehend an, »Sie wissen, Professor Dumbledore, Sir, ich hab nie «– »Ich möchte klarstellen, Cornelius, daß Hagrid mein volles Vertrauen genießt«, sagte Dumbledore und sah Fudge mißmutig an.	[sound:missmutig.ogg.mp3]
Vernehmen	reportedly	Das Ministerium muß etwas unternehmen – die Schulräte haben sich ins Vernehmen gesetzt «– »Ich sage Ihnen noch mal, Cornelius, wenn Sie Hagrid mitnehmen, wird uns das keinen Schritt weiterbringen«, sagte Dumbledore.	[sound:Vernehmen.ogg.mp3]
Vorsichtsmaßnahme	Reminder	»Keine Strafe, Hagrid, eher eine Vorsichtsmaßnahme.	[sound:Vorsichtsmaßnahme.ogg.mp3]
verächtlich	contemptuously	»Guter Mann, bitte seien Sie versichert, es ist mir kein Vergnügen, in Ihrem – ähm – Sie nennen es Haus – zu sein«, sagte Lucius Malfoy und sah sich verächtlich in der kleinen Hütte um.	[sound:verächtlich.ogg.mp3]
Auffassung	view	»Aber die Schulräte sind der Auffassung, es sei an der Zeit, daß Sie einem andern Platz machen.	[sound:Auffassung.ogg.mp3]
Verlust	loss	Wenn es so weitergeht, gibt es bald keine Muggelstämmigen mehr in Hogwarts, und wir alle wissen, welch schlimmer Verlust das für die Schule wäre.«	[sound:Verlust.ogg.mp3]
Ernennung	appointment	»Oh, nun aber immer mit der Ruhe, Lucius«, sagte Fudge nervös, »Dumbledore beurlauben – nein, nein – das ist das Letzte, was wir jetzt wollen «– »Die Ernennung – oder Entlassung – eines Schulleiters ist Aufgabe der Schulräte, Fudge«, sagte Mr Malfoy beiläufig.	[sound:Ernennung.ogg.mp3]
Entlassung	release	»Oh, nun aber immer mit der Ruhe, Lucius«, sagte Fudge nervös, »Dumbledore beurlauben – nein, nein – das ist das Letzte, was wir jetzt wollen «– »Die Ernennung – oder Entlassung – eines Schulleiters ist Aufgabe der Schulräte, Fudge«, sagte Mr Malfoy beiläufig.	[sound:Entlassung.ogg.mp3]
unverwandt	steadfastly	Dumbledores hellblaue Augen blickten unverwandt in die kalten grauen Augen Malfoys.	[sound:unverwandt.ogg.mp3]
die Treue	loyalty	»Allerdings«, sagte Dumbledore, sehr langsam und deutlich sprechend, so daß keinem ein Wort entging, »allerdings werden Sie feststellen, daß ich diese Schule erst dann endgültig verlasse, wenn mir hier keiner mehr die Treue hält.	[sound:die Treue.ogg.mp3]
vernehmbar	vocal	Fudge, an seinem Hut herumfummelnd, wartete darauf, daß Hagrid vorgehen würde, doch Hagrid rührte sich nicht vom Fleck und sagte deutlich vernehmbar: »Wenn jemand etwas herausfinden will, muß er nur den Spinnen folgen.	[sound:vernehmbar.ogg.mp3]
